catalog_id,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-1554-0650,Foundations and Trends in Accounting,1554-0650,,1554-0650,,Accounting & Auditing,,,19,3,,,,
issn-2095-7513,Frontiers of Engineering Management,2095-7513,,2095-7513,,Engineering & Industrial Management,,,,,542,A,,
issn-2667-3258,Fundamental Research,2667-3258,,2667-3258,,Management & Organization,,,,,400,B,,
issn-1573-2908,Fuzzy Optimization and Decision Making,1573-2908,,1573-2908,,Operations & Management Science,,,1227,3,,,,
issn-0899-8256,Games and Economic Behavior,0899-8256,1090-2473,0899-8256;1090-2473,,Economics,,,169,3,167,A,,
issn-0954-0253,Gender and Education,0954-0253,,0954-0253,,Economics,,,,,498,B,,
issn-0891-2432,Gender and Society,0891-2432,1552-3977,0891-2432;1552-3977,,Management & Organization,,,523,3,401,B,,
issn-1468-0432,"Gender, Work and Organization",1468-0432,,1468-0432,,Management & Organization,,,524,3,907,B,,
issn-0959-3780,Global Environmental Change,0959-3780,1872-9495,0959-3780;1872-9495,,"Regional, Environmental & Resource Studies",,,1547,3,1023,B,,
issn-1470-2266,Global Networks,1470-2266,1471-0374,1470-2266;1471-0374,,"Regional, Environmental & Resource Studies",,,1703,3,79,B,,
issn-2042-5791,Global Strategy Journal,2042-5791,2042-5805,2042-5791;2042-5805,,Strategy & Innovation,,,1797,4,1099,B,,
issn-0952-1895,Governance,0952-1895,1468-0491,0952-1895;1468-0491,,Public Administration & Policy,,,1471,4,974,B,,
issn-0740-624x,Government Information Quarterly,0740-624X,1872-9517,0740-624X;1872-9517,,Public Administration & Policy,,,870,3,975,B,,
issn-1059-6011,Group and Organization Management,1059-6011,1552-3993,1059-6011;1552-3993,,Management & Organization,,,1298,3,908,B,,
issn-0926-2644,Group Decision and Negotiation,0926-2644,,0926-2644,,Operations & Management Science,,,,,853,B,,
issn-0017-8012,Harvard Business Review,0017-8012,,0017-8012,,Management & Organization,,,525,3,402,B,,
issn-1057-9230,Health Economics (United Kingdom),1057-9230,1099-1050,1057-9230;1099-1050,,Health Management & Economics,,,170,3,430,A,,
issn-0017-9124,Health Services Research,0017-9124,1475-6773,0017-9124;1475-6773,,Health Management & Economics,,,1477,3,434,B,,
issn-0018-1560,Higher Education,0018-1560,,0018-1560,,Education Management,,,,,193,B,,
issn-0360-3989,Human Communication Research,0360-3989,,0360-3989,,Human Resources & Employment,,,,,464,B,,
issn-1547-8181,Human Factors,1547-8181,,1547-8181,,Management & Organization,,,1416,3,,,,
issn-1532-7043,Human Performance,1532-7043,,1532-7043,,Psychology & Behavior,,,1417,3,,,,
issn-0018-7267,Human Relations,0018-7267,1741-282X,0018-7267;1741-282X,,Management & Organization,,,1294,4,909,B,,
issn-0954-5395,Human Resource Management Journal (UK),0954-5395,1748-8583,0954-5395;1748-8583,,Human Resources & Employment,,,747,4*,460,A,,
issn-1053-4822,Human Resource Management Review,1053-4822,1873-7889,1053-4822;1873-7889,,Human Resources & Employment,,,754,3,465,B,,
issn-0090-4848,Human Resource Management (USA),0090-4848,1099-050X,0090-4848;1099-050X,,Human Resources & Employment,,,749,4,459,A,,
issn-2168-2267,IEEE Transactions on Cybernetics,2168-2267,2168-2275,2168-2267;2168-2275,,Operations & Management Science,,,1228,3,854,B,,
issn-0018-9391,IEEE Transactions on Engineering Management,0018-9391,1558-0040,0018-9391;1558-0040,,Engineering & Industrial Management,,,1147,3,545,B,,
issn-1089-778x,IEEE Transactions on Evolutionary Computation,1089-778X,1941-0026,1089-778X;1941-0026,,Operations & Management Science,,,1219,4,855,B,,
issn-1524-9050,IEEE Transactions on Intelligent Transportation Systems,1524-9050,,1524-9050,,"Tourism, Hospitality & Transportation",,,,,1153,B,,
issn-1041-4347,IEEE Transactions on Knowledge and Data Engineering,1041-4347,,1041-4347,,Information Systems,,,,,577,B,,
issn-0098-5589,IEEE Transactions on Software Engineering,0098-5589,,0098-5589,,Information Systems,,,,,578,B,,
issn-2168-2216,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2168-2216,2168-2232,2168-2216;2168-2232,,Operations & Management Science,,,1229,3,856,B,,
issn-2472-5862,IISE Transactions,2472-5862,,2472-5862,,Engineering & Industrial Management,,,1230,3,543,A,,
issn-0019-7939,ILR Review,0019-7939,2162-271X,0019-7939;2162-271X,,Human Resources & Employment,,,755,3,466,B,,
issn-2041-4161,IMF Economic Review,2041-4161,2041-417X,2041-4161;2041-417X,,Economics,,,171,3,731,B,,
issn-0960-6491,Industrial and Corporate Change,0960-6491,1464-3650,0960-6491;1464-3650,,Strategy & Innovation,,,1704,3,1073,B,,
issn-0305-9332,Industrial Law Journal,0305-9332,1464-3669,0305-9332;1464-3669,,Human Resources & Employment,,,756,3,467,B,,
issn-0019-8501,Industrial Marketing Management,0019-8501,1873-2062,0019-8501;1873-2062,,Marketing,,,1073,3,766,B,,
issn-0019-8676,Industrial Relations,0019-8676,1468-232X,0019-8676;1468-232X,,Human Resources & Employment,,,750,4,461,A,,
issn-0019-8692,Industrial Relations Journal,0019-8692,1468-2338,0019-8692;1468-2338,,Human Resources & Employment,,,757,3,468,B,,
issn-1469-8390,Industry and Innovation,1469-8390,,1469-8390,,Strategy & Innovation,,,966,3,,,,
issn-0378-7206,Information and Management,0378-7206,1872-7530,0378-7206;1872-7530,,Information Systems,,,871,3,579,B,,
issn-1471-7727,Information and Organization,1471-7727,1873-7919,1471-7727;1873-7919,,Information Systems,,,872,3,580,B,,
issn-0950-5849,Information and Software Technology,0950-5849,,0950-5849,,Information Systems,,,,,581,B,,
issn-0306-4573,Information Processing & Management,0306-4573,,0306-4573,,Information & Library Science,,,,,711,B,,
issn-0020-0255,Information Sciences,0020-0255,,0020-0255,,Information Systems,,,,,582,B,,
issn-0197-2243,Information Society,0197-2243,1087-6537,0197-2243;1087-6537,,Information Systems,,,873,3,583,B,,
issn-1387-3326,Information Systems Frontiers,1387-3326,1572-9419,1387-3326;1572-9419,,Information Systems,,,874,3,584,B,,
issn-1350-1917,Information Systems Journal,1350-1917,1365-2575,1350-1917;1365-2575,,Information Systems,,,865,4,585,B,,
issn-1047-7047,Information Systems Research,1047-7047,1526-5536,1047-7047;1526-5536,,Information Systems,7,UTD24,861,4*,563,A,,
issn-0959-3845,Information Technology and People,0959-3845,1758-5813,0959-3845;1758-5813,,Information Systems,,,875,3,586,B,,
issn-2644-0865,INFORMS Journal on Applied Analytics,2644-0865,,2644-0865,,Operations & Management Science,,,,,857,B,,
issn-1091-9856,INFORMS Journal on Computing,1091-9856,1526-5528,1091-9856;1526-5528,,Operations & Management Science,8,UTD24,1231,3,843,A,,
issn-2575-1484,INFORMS Journal on Optimization,2575-1484,,2575-1484,,Operations & Management Science,,,,,858,B,,
issn-0167-6687,Insurance: Mathematics and Economics,0167-6687,1873-5959,0167-6687;1873-5959,,Finance,,,638,3,247,B,,
issn-0020-5850,International Affairs,0020-5850,,0020-5850,,International Business & Affairs,,,,,647,B,,
issn-0969-5931,International Business Review,0969-5931,1873-6149,0969-5931;1873-6149,,International Business & Affairs,,,809,3,648,B,,
issn-0020-6598,International Economic Review,0020-6598,1468-2354,0020-6598;1468-2354,,Economics,,,130,4,326,A,,
issn-1094-4060,International Journal of Accounting,1094-4060,,1094-4060,,Accounting & Auditing,,,20,3,18,B,,
